,institution_id,source_id,member_id,grid_label,zstore_siconc,version,zstore_so,version_x,zstore_thetao,version_y,xname,yname,lonname,latname,zname,type,zstore_hfds,zstore_mlotst
42,SNU,SAM0-UNICON,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/SImon/siconc/gn/v20190910/,20190910.0,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/Omon/so/gn/v20190910/,20190910.0,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/Omon/thetao/gn/v20190910/,20190910.0,i,j,longitude,latitude,lev,POP,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/Omon/hfds/gn/v20190910/,
43,NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,gs://cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/piControl/r1i1p1f1/SImon/siconc/gr/v20190410/,20190410.0,gs://cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/piControl/r1i1p1f1/Omon/so/gr/v20190410/,20190410.0,gs://cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/piControl/r1i1p1f1/Omon/thetao/gr/v20190410/,20190410.0,lon,lat,,,lev,HYCOM,gs://cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/piControl/r1i1p1f1/Omon/hfds/gn/v20190410/,
44,NASA-GISS,GISS-E2-2-H,r1i1p1f1,gr,gs://cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/piControl/r1i1p1f1/SImon/siconc/gr/v20191120/,20191120.0,,,,,lon,lat,,,lev,HYCOM,,
45,INM,INM-CM4-8,r1i1p1f1,gr1,gs://cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/SImon/siconc/gr1/v20190605/,20190605.0,gs://cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/Omon/so/gr1/v20190605/,20190605.0,gs://cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/Omon/thetao/gr1/v20190605/,20190605.0,lon,lat,,,lev,INM,,
46,NCC,NorESM2-MM,r1i1p1f1,gr,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-MM/piControl/r1i1p1f1/SImon/siconc/gn/v20191108/,20191108.0,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-MM/piControl/r1i1p1f1/Omon/so/gr/v20191108,20191108.0,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-MM/piControl/r1i1p1f1/Omon/thetao/gr/v20191108,20191108.0,i,j,longitude,latitude,lev,BLOM,,
47,NCC,NorESM2-LM,r1i1p1f1,gn,,,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/Omon/so/gr/v20210118,20210118.0,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/Omon/thetao/gr/v20210118,20210118.0,i,j,longitude,latitude,lev,MICOM,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/Omon/hfds/gn/v20210118/,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/Omon/mlotst/gn/v20210118/
48,NCC,NorCPM1,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCC/NorCPM1/piControl/r1i1p1f1/SImon/siconc/gn/v20190914/,20190914.0,gs://cmip6/CMIP6/CMIP/NCC/NorCPM1/piControl/r1i1p1f1/Omon/so/gr/v20190914/,20190914.0,gs://cmip6/CMIP6/CMIP/NCC/NorCPM1/piControl/r1i1p1f1/Omon/thetao/gr/v20190914/,20190914.0,i,j,longitude,latitude,lev,MICOM,gs://cmip6/CMIP6/CMIP/NCC/NorCPM1/piControl/r1i1p1f1/Omon/hfds/gn/v20190914/,gs://cmip6/CMIP6/CMIP/NCC/NorCPM1/piControl/r1i1p1f1/Omon/mlotst/gn/v20190914/
49,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/piControl/r1i1p1f1/SImon/siconc/gn/v20200120/,20200120.0,,,,,i,j,longitude,latitude,lev,MPIOM,,gs://cmip6/CMIP6/CMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/piControl/r1i1p1f1/Omon/mlotst/gn/v20200120/
50,MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/piControl/r1i1p1f1/SImon/siconc/gn/v20190710/,20190710.0,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/piControl/r1i1p1f1/Omon/so/gn/v20190710/,20190710.0,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/piControl/r1i1p1f1/Omon/thetao/gn/v20190710/,20190710.0,i,j,longitude,latitude,lev,MPIOM,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/piControl/r1i1p1f1/Omon/hfds/gn/v20190710/,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/piControl/r1i1p1f1/Omon/mlotst/gn/v20190710/
51,MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20190710/,20190710.0,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/piControl/r1i1p1f1/Omon/so/gn/v20190710/,20190710.0,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/piControl/r1i1p1f1/Omon/thetao/gn/v20190710/,20190710.0,i,j,longitude,latitude,lev,MPIOM,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/piControl/r1i1p1f1/Omon/hfds/gn/v20190710/,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/piControl/r1i1p1f1/Omon/mlotst/gn/v20190710/
52,MPI-M,ICON-ESM-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20210215/,20210215.0,gs://cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/piControl/r1i1p1f1/Omon/so/gn/v20210215/,20210215.0,gs://cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/piControl/r1i1p1f1/Omon/thetao/gn/v20210215/,20210215.0,,,,,lev,ICON-O,,gs://cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/piControl/r1i1p1f1/Omon/mlotst/gn/v20210215/
53,AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20200212/,20200212.0,gs://cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/Omon/so/gn/v20200212/,20200212.0,gs://cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/Omon/thetao/gn/v20200212/,20200212.0,,,,,depth,FESOM,gs://cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/Omon/hfds/gn/v20200212/,gs://cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/Omon/mlotst/gn/v20200212/
54,E3SM-Project,E3SM-1-0,r1i1p1f1,gr,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/SImon/siconc/gr/v20191210/,20191210.0,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/Omon/so/gr/v20200129/,20200129.0,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/Omon/thetao/gr/v20200129/,20200129.0,lon,lat,,,lev,MPAS-Ocean,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/Omon/hfds/gr/v20191007/,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/Omon/mlotst/gr/v20200129/
55,E3SM-Project,E3SM-1-1,r1i1p1f1,gr,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/SImon/siconc/gr/v20201123/,20201123.0,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Omon/so/gr/v20201130/,20201130.0,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Omon/thetao/gr/v20201130/,20201130.0,lon,lat,,,lev,MPAS-Ocean,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Omon/hfds/gr/v20201125/,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Omon/mlotst/gr/v20201125/
56,E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/SImon/siconc/gr/v20201202/,20201202.0,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Omon/so/gr/v20201203/,20201203.0,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Omon/thetao/gr/v20201203/,20201203.0,lon,lat,,,lev,MPAS-Ocean,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Omon/hfds/gr/v20201203/,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Omon/mlotst/gr/v20201203/
57,E3SM-Project,E3SM-2-0,r1i1p1f1,gr,,,,,,,lon,lat,,,lev,MPAS-Ocean,,
58,E3SM-Project,E3SM-2-0-NARRM,r1i1p1f1,gr,,,,,,,lon,lat,,,lev,MPAS-Ocean,,
