,institution_id,source_id,member_id,grid_label,zstore_siconc,version,zstore_so,version_x,zstore_thetao,version_y,xname,yname,lonname,latname,zname,type,zstore_hfds,zstore_mlotst
10,CCCma,CanESM5-1,r1i1p1f1,gn,,,,,,,i,j,longitude,latitude,lev,NEMO,,
11,CCCma,CanESM5-CanOE,r1i1p2f1,gn,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/SImon/siconc/gn/v20190429/,20190429.0,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/Omon/so/gn/v20190429/,20190429.0,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/Omon/thetao/gn/v20190429/,20190429.0,i,j,longitude,latitude,lev,NEMO,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/Omon/hfds/gn/v20190429/,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/Omon/mlotst/gn/v20190429/
12,CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/SImon/siconc/gn/v20200616/,20200616.0,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/Omon/so/gn/v20200616/,20200616.0,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/Omon/thetao/gn/v20200616/,20200616.0,i,j,longitude,latitude,lev,NEMO,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/Omon/hfds/gn/v20200616/,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/Omon/mlotst/gn/v20200616/
13,CMCC,CMCC-ESM2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/SImon/siconc/gn/v20210304/,20210304.0,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Omon/so/gn/v20210304/,20210304.0,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Omon/thetao/gn/v20210304/,20210304.0,i,j,longitude,latitude,lev,NEMO,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Omon/hfds/gn/v20210304/,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Omon/mlotst/gn/v20210304/
14,EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/SImon/siconc/gn/v20200918/,20200918.0,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/so/gn/v20200918/,20200918.0,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/thetao/gn/v20200918/,20200918.0,i,j,longitude,latitude,lev,NEMO,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/hfds/gn/v20200918/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/mlotst/gn/v20200918/
15,EC-Earth-Consortium,EC-Earth3-CC,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/piControl/r1i1p1f1/SImon/siconc/gn/v20210331/,20210331.0,,,,,i,j,longitude,latitude,lev,NEMO,,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/piControl/r1i1p1f1/Omon/mlotst/gn/v20210416/
16,EC-Earth-Consortium,EC-Earth3-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20200919/,20200919.0,,,,,i,j,longitude,latitude,lev,NEMO,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/Omon/hfds/gn/v20200919/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/Omon/mlotst/gn/v20200919/
17,EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg/piControl/r1i1p1f1/SImon/siconc/gn/v20210419/,20210419.0,,,,,i,j,longitude,latitude,lev,NEMO,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg/piControl/r1i1p1f1/Omon/hfds/gn/v20200919/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg/piControl/r1i1p1f1/Omon/mlotst/gn/v20210419/
18,EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20200919/,20200919.0,,,,,i,j,longitude,latitude,lev,NEMO,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/Omon/hfds/gn/v20200919/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/Omon/mlotst/gn/v20200919/
19,EC-Earth-Consortium,EC-Earth3-AerChem,r1i1p1f1,gn,,,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-AerChem/piControl/r1i1p1f1/Omon/so/gn/v20200821,20200821.0,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-AerChem/piControl/r1i1p1f1/Omon/thetao/gn/v20200821,20200821.0,i,j,longitude,latitude,lev,NEMO,,
20,CNRM-CERFACS,CNRM-CM6-1,r1i1p1f2,gn,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/SImon/siconc/gn/v20180814/,20180814.0,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Omon/so/gn/v20180814/,20180814.0,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Omon/thetao/gn/v20180814/,20180814.0,x,y,lon,lat,lev,NEMO,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Omon/hfds/gn/v20180814/,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Omon/mlotst/gn/v20180814/
