name,p_criteria,p_mean,p_max,p_total,p_freq,c_mean,c_max,c_total,c_freq,t_mean55,t_mean_p,t_mean_c,s_mean55,s_mean_p,s_mean_c,ice_mean55,ice_mean_p,ice_mean_c,thick_m55,thick_mp,thick_mc,hfds_m55,hfds_mp,hfds_mc,mld_m55,mld_mp,mld_mc,tann_55,tann_p,tann_c,sann_55,sann_p,sann_c
CESM2,49.529890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8685125112533569,,,33.72503662109375,,,56.37852096557617,,,1.2789610624313354,,,-50.31672668457031,,,140.03453063964844,,,0.006888211704790592,,,33.517208099365234,,
CESM2-FV2,48.92117578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8289353847503662,,,33.7951774597168,,,56.65729522705078,,,1.3449944257736206,,,-50.65177917480469,,,129.25357055664062,,,0.2220594733953476,,,33.568336486816406,,
CESM2-WACCM,49.306307928356716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9085534811019897,,,33.758724212646484,,,57.62935256958008,,,1.2961277961730957,,,-49.69350051879883,,,141.4893798828125,,,-0.0671626403927803,,,33.551307678222656,,
CESM2-WACCM-FV2,48.30056640625,2.8185777409817092e-05,0.009111031889915466,0.014092888064,0.006,0.0,0.0,0.0,0.0,-0.745596170425415,-1.8934344053268433,,33.7595100402832,34.21091079711914,,55.51054763793945,94.09965515136719,,1.2916377782821655,2.1538212299346924,,-49.489662170410156,-62.56842803955078,,126.11856079101562,148.0304718017578,,0.36286410689353943,-1.800104022026062,,33.53350830078125,34.010398864746094,
CAS-ESM2-0,42.5057421875,0.0002940247650258243,0.044576652348041534,0.0896995328,0.014,0.008532634004950523,0.18321070075035095,0.21318238208,0.196,-0.8419774770736694,,0.9394373297691345,33.77815628051758,,34.693634033203125,,40.57896041870117,,,0.15337471663951874,,-40.687564849853516,,-112.11699676513672,53.09926986694336,,583.5099487304688,1.5228477716445923,,3.4507992267608643,33.50190353393555,,34.54891586303711
FGOALS-g3,50.7122109375,0.6689882278442383,2.0437984466552734,9.805002440704,1.0,0.2313472032546997,1.2010605335235596,3.063830020096,0.992,-1.33066725730896,-1.6282153129577637,-1.6032639741897583,34.7778205871582,34.79423904418945,34.89394760131836,69.3428726196289,72.3824691772461,71.66104125976562,,,,-58.6168212890625,-80.10255432128906,-97.33672332763672,126.9155502319336,164.3892364501953,370.33380126953125,-0.4042906165122986,-0.6653459072113037,-0.8854881525039673,34.6087760925293,34.65333557128906,34.772865295410156
NESM3,51.16349609375,0.013489393517374992,0.3016516864299774,2.492760588288,0.43,0.18645520491233128,0.7929698845440054,4.014616623737048,0.73,-0.7858963012695312,,-1.2227294445037842,33.48474884033203,,34.067989349365234,56.6810302734375,67.22395324707031,,0.6363334059715271,0.3866994082927704,,-30.424776077270508,,-44.64989471435547,133.2516632080078,,256.4462890625,-0.02836623415350914,,-0.35027867555618286,33.19697952270508,,33.74897384643555
CanESM5,45.9153828125,0.0013335130643099546,0.04803391918540001,0.482766618624,0.078,0.0005371670122258365,0.05279498174786568,0.141974994944,0.108,-1.2386337518692017,-1.7101173400878906,-1.7991077899932861,34.092105865478516,34.01033401489258,34.464481353759766,72.94165802001953,82.98526000976562,98.33712768554688,1.0741207599639893,0.7447454333305359,1.5312429666519165,-35.28346252441406,-46.12458801269531,-23.956632614135742,139.36666870117188,82.25326538085938,173.29293823242188,-0.7687101364135742,-0.9979110360145569,-1.83392333984375,33.96644973754883,33.85578155517578,34.377464294433594
CanESM5-1,48.493125,0.0001577639050083235,0.06248638033866882,0.078881947648,0.004,0.0010913105215877295,0.044233210384845734,0.206230847488,0.196,-1.2737433910369873,-1.7427868843078613,-1.7989790439605713,34.08128356933594,33.98978042602539,34.48951721191406,74.6358413696289,83.99915313720703,98.37030029296875,1.0698046684265137,0.8366218209266663,1.5871914625167847,-34.31967544555664,-36.26390075683594,-24.1470947265625,132.126220703125,81.92153930664062,162.64340209960938,-0.8141136765480042,-0.766053318977356,-1.8307324647903442,33.95853805541992,33.784339904785156,34.414005279541016
CanESM5-CanOE,47.63861328125,0.0002886496076826006,0.05534765124320984,0.099811516416,0.02,0.0008499945397488773,0.08487048745155334,0.18512551936,0.12,-1.2530062198638916,-1.7455881834030151,-1.7991770505905151,34.09527587890625,33.99928283691406,34.46931457519531,73.64757537841797,84.98760223388672,98.53453826904297,,,,-34.85285568237305,-33.43932342529297,-23.106374740600586,134.0945281982422,87.20232391357422,152.78196716308594,-0.7762694954872131,-0.9419413208961487,-1.823196530342102,33.965606689453125,33.79958724975586,34.379459381103516
HadGEM3-GC31-LL,52.1550703125,0.002636239631101489,0.19033436477184296,0.656356343808,0.062,0.13727843761444092,0.6370614171028137,2.99770707968,0.798,-0.4169931411743164,-1.723854422569275,-1.4373599290847778,34.00419235229492,34.30257797241211,34.24475860595703,55.43500900268555,84.61781311035156,72.7863998413086,1.2532079219818115,1.2281858921051025,1.2198636531829834,-38.910728454589844,-32.14604187011719,-34.63051223754883,179.61972045898438,252.89932250976562,245.2968292236328,0.5178064107894897,-0.940586507320404,-0.5594972372055054,33.82814025878906,34.086978912353516,34.06389617919922
HadGEM3-GC31-MM,43.37201171875,0.0033104841131716967,0.2878328263759613,0.515820453888,0.936,0.44517919421195984,0.9552723169326782,2.067303235584,0.968,-0.329939603805542,-0.15647515654563904,-0.5195052623748779,33.93844985961914,34.508995056152344,34.478370666503906,49.64649963378906,18.73657989501953,18.987030029296875,1.2900422811508179,0.860824704170227,0.8192179203033447,-45.349815368652344,-114.34896087646484,-101.53266906738281,235.190185546875,2360.0732421875,1137.533203125,0.6197113394737244,0.8116968870162964,0.7007542252540588,33.810604095458984,34.433650970458984,34.415340423583984
UKESM1-0-LL,57.19944921875,0.0006977436714805663,0.1619163155555725,0.343814373376,0.016,0.004176243208348751,0.18298310041427612,1.047728553984,0.144,-1.0214792490005493,-1.8581430912017822,-1.8666795492172241,34.12537384033203,34.392799377441406,34.40613555908203,67.23606872558594,93.5591049194336,94.73238372802734,1.4259986877441406,1.149896264076233,1.7814621925354004,-39.16823959350586,-31.44049835205078,-30.432199478149414,165.49142456054688,110.80880737304688,193.0323486328125,-0.364845871925354,-1.256948709487915,-1.62346351146698,33.94911193847656,34.174583435058594,34.172019958496094
UKESM1-1-LL,56.829321394751084,0.0010841174516826868,0.1262155920267105,0.330474651648,0.030303030303030304,0.00266796862706542,0.2003493458032608,0.455258570752,0.11688311688311688,-0.8665384650230408,-1.845348834991455,-1.8593082427978516,34.09087371826172,34.34843444824219,34.37316131591797,64.34737396240234,93.11058044433594,94.23928833007812,1.3809126615524292,1.248947262763977,1.7113680839538574,-39.6668701171875,-31.014556884765625,-31.718130111694336,163.98227287441082,107.62161102697988,208.57291000855588,-0.1779193878173828,-1.3288421630859375,-1.612402081489563,33.92723083496094,34.123714447021484,34.16355895996094
EC-Earth3,40.90544140625,0.022434761747717857,0.4744367301464081,2.704163995648,0.452,0.21851138770580292,0.92112797498703,3.79379908608,0.958,-0.1998196542263031,-1.7147939205169678,-1.3152260780334473,34.05459213256836,34.201595306396484,34.32990646362305,49.33144760131836,82.09990692138672,63.55833053588867,0.7878021001815796,0.6293134689331055,0.6152997612953186,-43.16824722290039,-48.179229736328125,-52.684181213378906,163.88783264160156,162.7130584716797,295.0685729980469,1.5088251829147339,-0.0570891834795475,0.5430877804756165,33.8370246887207,33.88529586791992,34.09465026855469
EC-Earth3-CC,33.10501953125,0.026655612513422966,0.5006194710731506,3.340493651968,0.46,0.3814113736152649,1.5654828548431396,6.58207932416,0.972,0.13751818239688873,-1.5924184322357178,-1.2695026397705078,34.05928421020508,34.14315414428711,34.22080612182617,40.76652908325195,74.00411987304688,58.009273529052734,0.6443590521812439,0.5907999873161316,0.5814716219902039,-46.4033203125,-54.1418571472168,-54.95358657836914,194.80606079101562,301.9867858886719,328.0359802246094,2.0812783241271973,0.2724290192127228,0.7865272760391235,33.881858825683594,33.85934829711914,33.99908447265625
EC-Earth3-Veg,36.70748046875,0.033718742430210114,0.5485230088233948,3.220458176512,0.514,0.2926922142505646,1.4952472448349,5.250312306688,0.978,0.02905539982020855,-1.647410273551941,-1.287941575050354,34.05447006225586,34.14948272705078,34.25862121582031,43.873783111572266,77.84037780761719,58.038570404052734,0.7961624264717102,0.751126766204834,0.7297245860099792,-43.06643295288086,-45.04239273071289,-49.864784240722656,178.86940002441406,248.55186462402344,310.6348571777344,1.8897147178649902,0.07674317061901093,0.7069178819656372,33.86498260498047,33.85404586791992,34.03263854980469
EC-Earth3-Veg-LR,37.86480078125,0.022676661610603333,0.3265323340892792,2.948761649152,0.402,0.3738085925579071,1.5395053625106812,5.924669882368,0.99,-0.16039027273654938,-1.662017583847046,-1.3125052452087402,34.06337356567383,34.1790657043457,34.26985168457031,48.02894592285156,78.52251434326172,62.54315185546875,0.7438632249832153,0.6063421368598938,0.5939552783966064,-43.92631149291992,-50.84904479980469,-51.58679962158203,175.36041259765625,218.93980407714844,303.5870056152344,1.776585578918457,0.2098712921142578,0.7877369523048401,33.82746887207031,33.862159729003906,34.020572662353516
EC-Earth3-AerChem,38.77157421875,0.0334535576403141,0.7096500396728516,3.585340342272,0.412,0.3844646215438843,1.5458946228027344,6.111928778752,0.986,-0.17737416923046112,-1.6749976873397827,-1.3629542589187622,34.08143615722656,34.2042350769043,34.26708221435547,48.018802642822266,80.33261108398438,61.62309265136719,0.7752537727355957,0.6871809363365173,0.6651536822319031,-44.59645462036133,-49.859439849853516,-54.0841178894043,192.83192443847656,299.1393737792969,350.7936706542969,1.5213959217071533,-0.1164918765425682,0.44237756729125977,33.87207794189453,33.8900032043457,34.0302619934082
CNRM-CM6-1,53.6132421875,4.9089696403825656e-05,0.00808289647102356,0.020343447552,0.008,0.3358021378517151,0.808500349521637,1.244155871232,0.996,-1.018251657485962,-1.7501497268676758,-0.38603535294532776,33.9497184753418,33.82893753051758,34.4992561340332,69.3498306274414,85.4092788696289,23.788665771484375,0.5575733184814453,0.34060370922088623,0.09749699383974075,-32.12494659423828,-16.744281768798828,-113.18456268310547,167.50608825683594,95.03905487060547,1175.33056640625,0.2666541635990143,-0.1756460815668106,1.6185029745101929,33.69982147216797,33.681732177734375,34.41096496582031
CNRM-CM6-1-HR,49.66104166666667,0.00289748003706336,0.11114221066236496,0.522104832,0.7966666666666666,0.13674817979335785,1.4743400812149048,2.72816930816,0.21333333333333335,-1.0118355751037598,-1.5730210542678833,-1.5976333618164062,33.939693450927734,34.21750259399414,34.23777770996094,68.06702423095703,83.32437896728516,83.12614440917969,0.6954742074012756,0.5459006428718567,0.48842713236808777,-36.16823959350586,-43.44207763671875,-36.32586669921875,174.4438934326172,403.3062744140625,344.7010498046875,0.24177217483520508,-0.4343837797641754,-0.34511473774909973,33.7566032409668,34.021629333496094,34.06772994995117
CNRM-ESM2-1,49.398125,0.002580104162916541,0.3880169689655304,0.91215396864,0.042,0.4241320788860321,1.0858100652694702,3.774062002176,0.99,-0.619202733039856,-1.7104196548461914,-1.1896884441375732,33.94269561767578,34.07194900512695,34.21809387207031,60.522457122802734,91.5167465209961,67.62841033935547,0.6417633891105652,0.609271228313446,0.46601033210754395,-37.203433990478516,-26.596904754638672,-51.76717758178711,184.32809448242188,181.3686065673828,481.13690185546875,1.0416591167449951,-0.4160884618759155,0.4896477460861206,33.72862243652344,33.8093376159668,34.03247833251953
CMCC-CM2-SR5,51.4499296875,0.00014575946261174977,0.025929683819413185,0.047646040064,0.02,0.00014033271872904152,0.02110607922077179,0.055144833024,0.03,-0.9340175986289978,-1.5243757963180542,-1.760911226272583,34.027896881103516,34.01993942260742,34.3436164855957,60.50571060180664,45.00532531738281,86.12814331054688,1.0458571910858154,0.5334023833274841,1.1271964311599731,-45.77533721923828,-59.876007080078125,-39.63018035888672,165.34417724609375,77.04460906982422,265.1695251464844,-0.034641019999980927,0.057371631264686584,-0.9599002003669739,33.842464447021484,33.841087341308594,34.08051681518555
CMCC-ESM2,50.71449609375,0.00010514618770685047,0.034083135426044464,0.038699659264,0.01,0.00016057993343565613,0.046379704028367996,0.070894321664,0.02,-0.9423064589500427,-1.5714194774627686,-1.7797740697860718,34.031455993652344,34.16352844238281,34.35683059692383,61.04450607299805,49.113407135009766,93.33517456054688,1.0328904390335083,0.5451884865760803,1.331496238708496,-45.5848503112793,-50.98557662963867,-30.1062068939209,164.59837341308594,103.07527923583984,242.61773681640625,-0.04605609178543091,0.1013447642326355,-1.3274970054626465,33.84676742553711,34.03156661987305,34.06049346923828
IPSL-CM6A-LR,50.18557421875,6.780082185287029e-05,0.03390040993690491,0.03390041088,0.002,0.17924602329730988,1.3140957355499268,2.97535275008,0.778,-1.1322705745697021,-1.789085865020752,-1.8266304731369019,34.261993408203125,34.412452697753906,34.5181770324707,73.59527587890625,93.40477752685547,94.00782775878906,1.545711874961853,1.234755039215088,2.1126205921173096,-39.496131896972656,-40.97407531738281,-30.595815658569336,229.7655029296875,81.88300323486328,646.0108032226562,0.03418707847595215,-0.6247894167900085,-1.2239274978637695,33.87404251098633,33.996917724609375,33.89247512817383
IPSL-CM6A-MR1,50.25659375,5.057453108747723e-06,0.00252872658893466,0.002528726528,0.002,0.019058868288993835,0.22261396050453186,0.706286911488,0.498,-1.251673936843872,-1.720590591430664,-1.832568883895874,34.30823516845703,34.469566345214844,34.64643096923828,75.50648498535156,82.58616638183594,93.87335968017578,1.6720738410949707,1.1251517534255981,2.3991808891296387,-41.26414108276367,-72.58470916748047,-33.84959411621094,214.1719512939453,96.96978759765625,674.9395141601562,-0.3041742146015167,-0.4585360586643219,-1.46787428855896,33.94963455200195,33.85861587524414,34.29362106323242
GISS-E2-1-H,52.21637800851247,0.0002974188022550694,0.05323312493950765,0.07155492883829975,0.007481296758104738,0.0012264365795999765,0.08923055976629257,0.178636406784,0.02493765586034913,-0.5539398789405823,-1.7549680471420288,-1.6633329391479492,33.63242721557617,32.23167037963867,34.04872512817383,66.63819885253906,92.73809051513672,83.79399108886719,1.119322419166565,1.685638427734375,0.7597833275794983,-43.93144226074219,-20.456865310668945,-31.60312843322754,69.79380972590356,16.867723002947475,58.348868960592156,0.5272741317749023,-1.4820404052734375,-0.5736704468727112,33.34727478027344,31.645523071289062,33.79526138305664
E3SM-1-0,49.64490234375,0.00029561531846411526,0.04567475989460945,0.100645142528,0.04,0.0,0.0,0.0,0.0,0.12229429185390472,-1.7108769416809082,,16.96194076538086,33.660404205322266,,60.75884246826172,75.32355499267578,,1.055678367614746,0.6302775144577026,,-30.95319366455078,-36.739498138427734,,52.32087707519531,78.24342346191406,,0.7658247947692871,0.007756970822811127,,16.838260650634766,33.369014739990234,
E3SM-2-0,50.84349609375,0.00040416393312625587,0.03174297511577606,0.031742976,0.026,0.0,0.0,0.0,0.0,-0.5303120613098145,-1.8059799671173096,,33.6436882019043,32.550113677978516,,57.66535568237305,82.7012939453125,,0.999754786491394,1.3141329288482666,,-32.60498809814453,-2.4484739303588867,,112.46307373046875,42.678653717041016,,0.8092377185821533,-0.6438131928443909,,33.31755828857422,31.65218162536621,
E3SM-2-0-NARRM,51.51041796875,0.00040649151196703315,0.01616324670612812,0.026807812096,0.048,0.0,0.0,0.0,0.0,-0.6088247895240784,-1.8096357583999634,,33.6404914855957,32.546356201171875,,59.147029876708984,83.2889404296875,,0.9459844827651978,1.4289196729660034,,-33.096248626708984,-2.7123894691467285,,114.98977661132812,53.26262664794922,,0.7185814380645752,-0.80161452293396,,33.33616256713867,31.803714752197266,
NorCPM1,51.38728515625,0.0027991272509098053,0.1978342980146408,0.78746648576,0.106,0.0,0.0,0.0,0.0,-0.9038321375846863,-1.701973795890808,,33.80104064941406,34.154449462890625,,65.88700103759766,88.13383483886719,,1.0350011587142944,1.0824350118637085,,-47.3880729675293,-46.3493766784668,,102.26428985595703,78.00932312011719,,-0.4228866994380951,-1.2269909381866455,,33.68961715698242,33.97672653198242,
NorESM2-MM,38.6903046875,0.5874890089035034,1.4546786546707153,3.731726794752,0.874,1.8332514762878418,2.6364452838897705,5.718878978048,1.0,-0.5885567665100098,-1.744446039199829,-1.7493609189987183,34.06195831298828,34.356658935546875,34.355804443359375,52.7838134765625,62.78882598876953,67.87413024902344,1.2305450439453125,0.8055808544158936,0.9227287769317627,-52.835533142089844,-73.22052001953125,-69.71829986572266,380.9400634765625,1883.3153076171875,1470.9503173828125,0.41314607858657837,-0.7646778225898743,-0.8381416201591492,33.94855499267578,34.28675079345703,34.255008697509766
NorESM2-LM,37.82265234375,0.5148224830627441,1.605578899383545,3.866085031936,0.714,1.6863173246383667,2.66280460357666,5.170642550784,1.0,-0.48446303606033325,-1.687190294265747,-1.7176073789596558,34.0288200378418,34.35224533081055,34.351524353027344,50.65208435058594,57.389896392822266,64.25657653808594,1.352535605430603,0.8823500275611877,0.996391236782074,-52.18973922729492,-75.31311798095703,-68.81102752685547,351.9283142089844,1763.50732421875,1473.165771484375,0.6397851705551147,-0.6229945421218872,-0.7028671503067017,33.91123580932617,34.275108337402344,34.24867248535156
MPI-ESM-1-2-HAM,30.020017578125,0.02700926549732685,0.6540505886077881,2.498517270528,0.332,0.5962998867034912,2.22100567817688,5.378626551808,0.996,-0.7533925175666809,-1.6640690565109253,-1.5152645111083984,34.15134048461914,34.29554748535156,34.35784149169922,31.75523567199707,39.68807601928711,30.228992462158203,0.6421813368797302,0.5023439526557922,0.5122808218002319,-54.74633026123047,-82.2929458618164,-73.36392211914062,251.02032470703125,577.201416015625,695.925048828125,1.1502833366394043,0.15029355883598328,0.38078874349594116,34.01907730102539,34.1744270324707,34.25338363647461
MPI-ESM1-2-HR,46.44651953125,0.16812211275100708,1.4845167398452759,5.9853897728,0.724,0.44148892164230347,1.2749137878417969,3.841887567872,0.998,-1.0355011224746704,-1.8336658477783203,-1.8083750009536743,34.100929260253906,34.32365798950195,34.37614440917969,51.036861419677734,70.6953353881836,72.71713256835938,0.7095334529876709,0.530954897403717,0.5401780605316162,-46.63303756713867,-53.5119514465332,-55.76078796386719,222.58717346191406,563.9853515625,794.1066284179688,0.279867947101593,-0.571844220161438,-0.6556181907653809,33.920597076416016,34.1328010559082,34.183494567871094
MPI-ESM1-2-LR,38.38209765625,0.1076376810669899,1.5305036306381226,6.187465048064,0.534,0.48829618096351624,1.2819925546646118,4.44688498688,0.996,-1.0957461595535278,-1.7668627500534058,-1.7294803857803345,34.08811569213867,34.242488861083984,34.323360443115234,44.548004150390625,52.72867965698242,50.498497009277344,0.678248941898346,0.5117987394332886,0.5139517188072205,-50.597015380859375,-66.89704132080078,-65.74108123779297,236.3155059814453,562.3954467773438,746.5855712890625,0.526867151260376,-0.07453390955924988,-0.03507271409034729,33.91875457763672,34.08159255981445,34.16922378540039
MIROC6,32.486615234375,0.0002651936956681311,0.04471849650144577,0.098581594112,0.014,1.770679235458374,2.7485761642456055,4.320859783168,1.0,1.3125883340835571,-0.2969786524772644,0.27019667625427246,34.119354248046875,34.32780456542969,34.352149963378906,15.133367538452148,20.927228927612305,5.4287614822387695,0.6337680220603943,0.42370715737342834,0.4209651052951813,-64.1533432006836,-132.57589721679688,-116.65966796875,436.6855773925781,2581.40087890625,1626.7890625,2.8869285583496094,1.063464879989624,1.764220952987671,34.004905700683594,34.2352294921875,34.29347610473633
MIROC-ES2L,31.699408203125,0.0,0.0,0.0,0.0,0.6368998885154724,1.3825268745422363,3.341367902208,1.0,1.942309021949768,,-0.1325996071100235,33.967491149902344,,34.03996276855469,14.80477237701416,,28.100784301757812,0.7220810651779175,,0.7562410831451416,,,,424.5063448956537,,1736.1310715406391,3.7822206020355225,,1.6412070989608765,33.85356903076172,,33.767303466796875
MIROC-ES2H,34.577899460565476,6.746355211362243e-05,0.016681406646966934,0.022354231296,0.009523809523809525,2.059727191925049,3.229632616043091,5.706509975552,1.0,1.0719022750854492,-1.6765360832214355,-0.2231249362230301,34.150089263916016,34.180267333984375,34.328468322753906,16.768417358398438,78.5886001586914,22.826045989990234,0.6593588590621948,0.47413960099220276,0.5894666314125061,,,,793.5489834364034,1246.6581136975456,2731.5377399401236,2.6216182708740234,-0.16038039326667786,1.2281843423843384,34.03497314453125,34.00896453857422,34.178035736083984
