name,p_criteria,p_mean,p_max,p_total,p_freq,c_mean,c_max,c_total,c_freq,t_mean55,t_mean_p,t_mean_c,s_mean55,s_mean_p,s_mean_c,ice_mean55,ice_mean_p,ice_mean_c,thick_m55,thick_mp,thick_mc,hfds_m55,hfds_mp,hfds_mc,mld_m55,mld_mp,mld_mc,tann_55,tann_p,tann_c,sann_55,sann_p,sann_c
FGOALS-g3,50.7122109375,0.5418446063995361,1.6939191818237305,8.599876665344,0.902,0.2313472032546997,1.2010605335235596,3.063830020096,0.992,-1.33066725730896,-1.621943712234497,-1.6032639741897583,34.7778205871582,34.805843353271484,34.89394760131836,69.3428726196289,72.20927429199219,71.66104125976562,,,,-58.6168212890625,-82.47929382324219,-97.33672332763672,126.9155502319336,176.35202026367188,370.33380126953125,-0.4042906165122986,-0.6869454979896545,-0.8854881525039673,34.6087760925293,34.66944122314453,34.772865295410156
NESM3,51.16349609375,0.0031704381108283997,0.29823970794677734,0.774947995648,0.016,0.18645520491233128,0.7929698845440054,4.014616623737048,0.73,-0.7858963012695312,,-1.2227294445037842,33.48474884033203,,34.067989349365234,56.6810302734375,84.1468276977539,,0.6363334059715271,0.5870546102523804,,-30.424776077270508,,-44.64989471435547,133.2516632080078,,256.4462890625,-0.02836623415350914,,-0.35027867555618286,33.19697952270508,,33.74897384643555
CanESM5,45.9153828125,0.0,0.0,0.0,0.0,0.0005371670122258365,0.05279498174786568,0.141974994944,0.108,-1.2386337518692017,,-1.7991077899932861,34.092105865478516,,34.464481353759766,72.94165802001953,,98.33712768554688,1.0741207599639893,,1.5312429666519165,-35.28346252441406,,-23.956632614135742,139.36666870117188,,173.29293823242188,-0.7687101364135742,,-1.83392333984375,33.96644973754883,,34.377464294433594
CanESM5-1,48.493125,0.0,0.0,0.0,0.0,0.0010913105215877295,0.044233210384845734,0.206230847488,0.196,-1.2737433910369873,,-1.7989790439605713,34.08128356933594,,34.48951721191406,74.6358413696289,,98.37030029296875,1.0698046684265137,,1.5871914625167847,-34.31967544555664,,-24.1470947265625,132.126220703125,,162.64340209960938,-0.8141136765480042,,-1.8307324647903442,33.95853805541992,,34.414005279541016
CanESM5-CanOE,47.63861328125,0.0,0.0,0.0,0.0,0.0008499945397488773,0.08487048745155334,0.18512551936,0.12,-1.2530062198638916,,-1.7991770505905151,34.09527587890625,,34.46931457519531,73.64757537841797,,98.53453826904297,,,,-34.85285568237305,,-23.106374740600586,134.0945281982422,,152.78196716308594,-0.7762694954872131,,-1.823196530342102,33.965606689453125,,34.379459381103516
HadGEM3-GC31-LL,52.1550703125,0.0008993025403469801,0.19033436477184296,0.31781093376,0.006,0.13727843761444092,0.6370614171028137,2.99770707968,0.798,-0.4169931411743164,-1.6739312410354614,-1.4373599290847778,34.00419235229492,34.362918853759766,34.24475860595703,55.43500900268555,78.7965316772461,72.7863998413086,1.2532079219818115,1.055338978767395,1.2198636531829834,-38.910728454589844,-40.08970260620117,-34.63051223754883,179.61972045898438,315.47027587890625,245.2968292236328,0.5178064107894897,-0.6876295208930969,-0.5594972372055054,33.82814025878906,34.16666793823242,34.06389617919922
HadGEM3-GC31-MM,43.37201171875,0.0005716989981010556,0.28584951162338257,0.28584951808,0.002,0.44517919421195984,0.9552723169326782,2.067303235584,0.968,-0.329939603805542,0.1655702441930771,-0.5195052623748779,33.93844985961914,34.61561965942383,34.478370666503906,49.64649963378906,12.72834587097168,18.987030029296875,1.2900422811508179,0.7453197240829468,0.8192179203033447,-45.349815368652344,-132.6931610107422,-101.53266906738281,235.190185546875,2994.77587890625,1137.533203125,0.6197113394737244,1.0293607711791992,0.7007542252540588,33.810604095458984,34.55562210083008,34.415340423583984
UKESM1-0-LL,57.19944921875,0.0003238326171413064,0.1619163155555725,0.161916321792,0.002,0.004176243208348751,0.18298310041427612,1.047728553984,0.144,-1.0214792490005493,-1.8589023351669312,-1.8666795492172241,34.12537384033203,34.4042854309082,34.40613555908203,67.23606872558594,94.24629211425781,94.73238372802734,1.4259986877441406,1.1461347341537476,1.7814621925354004,-39.16823959350586,-30.626996994018555,-30.432199478149414,165.49142456054688,117.57040405273438,193.0323486328125,-0.364845871925354,-1.2793444395065308,-1.62346351146698,33.94911193847656,34.18431091308594,34.172019958496094
UKESM1-1-LL,56.829321394751084,0.0002731939312070608,0.1262155920267105,0.126215593984,0.0021645021645021645,0.00266796862706542,0.2003493458032608,0.455258570752,0.11688311688311688,-0.8665384650230408,-1.8406234979629517,-1.8593082427978516,34.09087371826172,34.361228942871094,34.37316131591797,64.34737396240234,93.34223175048828,94.23928833007812,1.3809126615524292,1.2491315603256226,1.7113680839538574,-39.6668701171875,-31.053503036499023,-31.718130111694336,163.98227287441082,124.2199344164757,208.57291000855588,-0.1779193878173828,-1.3851019144058228,-1.612402081489563,33.92723083496094,34.13720703125,34.16355895996094
EC-Earth3,40.90544140625,0.009366026148200035,0.4703811705112457,1.374487314432,0.052,0.21851138770580292,0.92112797498703,3.79379908608,0.958,-0.1998196542263031,-1.7180393934249878,-1.3152260780334473,34.05459213256836,34.33235168457031,34.32990646362305,49.33144760131836,84.21475982666016,63.55833053588867,0.7878021001815796,0.6298290491104126,0.6152997612953186,-43.16824722290039,-45.19369125366211,-52.684181213378906,163.88783264160156,272.7746276855469,295.0685729980469,1.5088251829147339,-0.0484616719186306,0.5430877804756165,33.8370246887207,34.01377868652344,34.09465026855469
