name,t_mean_p_diff,t_mean_c_diff,s_mean_p_diff,s_mean_c_diff,ice_mean_p_diff,ice_mean_c_diff,thick_mp_diff,thick_mc_diff,hfds_mp_diff,hfds_mc_diff,mld_mp_diff,mld_mc_diff,tann_p_diff,tann_c_diff,sann_p_diff,sann_c_diff
CanESM5,-0.47148385643959045,-0.5604732632637024,-0.0817558690905571,0.37238842248916626,10.043745040893555,25.395524978637695,-0.32937493920326233,0.45712220668792725,-10.841078758239746,11.326845169067383,-57.11331558227539,33.926246643066406,-0.22920101881027222,-1.0652129650115967,-0.11067092418670654,0.4110199213027954
CanESM5-1,-0.46904414892196655,-0.5252358913421631,-0.09149181097745895,0.40824970602989197,9.363296508789062,23.734405517578125,-0.23318278789520264,0.5173875093460083,-1.944229006767273,10.172582626342773,-50.20467758178711,30.517230987548828,0.0480603389441967,-1.0166187286376953,-0.17419598996639252,0.45545968413352966
CanESM5-CanOE,-0.4925815165042877,-0.5461714863777161,-0.0960027202963829,0.37405240535736084,11.340060234069824,24.887033462524414,,,1.413570761680603,11.746489524841309,-46.892127990722656,18.687524795532227,-0.16567182540893555,-1.0469268560409546,-0.16601742804050446,0.4138609766960144
HadGEM3-GC31-LL,-1.306862235069275,-1.020365834236145,0.29839959740638733,0.24057245254516602,29.182893753051758,17.351381301879883,-0.025023169815540314,-0.033343832939863205,6.764693260192871,4.280229568481445,73.27964782714844,65.67692565917969,-1.458392858505249,-1.077304482460022,0.2588385045528412,0.23575849831104279
HadGEM3-GC31-MM,0.1734643280506134,-0.18956826627254486,0.5702319145202637,0.5399600863456726,-30.90987205505371,-30.65951156616211,-0.42921534180641174,-0.4708223342895508,-68.99952697753906,-56.18287658691406,2124.8896484375,902.3445434570312,0.19198553264141083,0.08104259520769119,0.6230494976043701,0.6047385931015015
UKESM1-0-LL,-0.8366639614105225,-0.8452014923095703,0.267442524433136,0.28076550364494324,26.323026657104492,27.496267318725586,-0.2761025130748749,0.355464369058609,7.727701663970947,8.736063003540039,-54.682701110839844,27.54102897644043,-0.8921027183532715,-1.2586170434951782,0.22547125816345215,0.22291181981563568
UKESM1-1-LL,-0.9788095951080322,-0.9927707314491272,0.25756004452705383,0.2822825312614441,28.763187408447266,29.891887664794922,-0.13196471333503723,0.3304561674594879,8.652326583862305,7.948724746704102,-56.36066184743095,44.59063713414504,-1.150923252105713,-1.4344825744628906,0.19648511707782745,0.23632487654685974
EC-Earth3,-1.514973521232605,-1.1154059171676636,0.14702370762825012,0.2753359377384186,32.76841735839844,14.226869583129883,-0.15848898887634277,-0.17250216007232666,-5.010981559753418,-9.51598072052002,-1.1748604774475098,131.18064880371094,-1.5659148693084717,-0.9657372832298279,0.04828917607665062,0.25762325525283813
EC-Earth3-CC,-1.7299383878707886,-1.4070210456848145,0.08391489833593369,0.1615387499332428,33.23758316040039,17.242746353149414,-0.053558580577373505,-0.06288696080446243,-7.738570690155029,-8.550284385681152,107.18120574951172,133.22976684570312,-1.8088488578796387,-1.2947505712509155,-0.022515440359711647,0.11722587794065475
EC-Earth3-Veg,-1.6764637231826782,-1.3169969320297241,0.09502704441547394,0.20412087440490723,33.96649169921875,14.16476821899414,-0.0450352318584919,-0.06643791496753693,-1.9759833812713623,-6.798367500305176,69.68252563476562,131.765380859375,-1.8129713535308838,-1.182796597480774,-0.010942620225250721,0.1676514595746994
EC-Earth3-Veg-LR,-1.5016274452209473,-1.152116298675537,0.11566540598869324,0.20647895336151123,30.493562698364258,14.514244079589844,-0.13752155005931854,-0.14990819990634918,-6.922751426696777,-7.6604413986206055,43.5793342590332,128.22653198242188,-1.5667144060134888,-0.9888483881950378,0.0346924364566803,0.19310066103935242
EC-Earth3-AerChem,-1.4976236820220947,-1.1855796575546265,0.12280149012804031,0.1856440305709839,32.313873291015625,13.604315757751465,-0.08807293325662613,-0.11010020226240158,-5.26295804977417,-9.487630844116211,106.30731201171875,157.9615020751953,-1.6378878355026245,-1.0790185928344727,0.017934752628207207,0.15818816423416138
CNRM-CM6-1,-0.7318985462188721,0.6322166323661804,-0.12079267203807831,0.5495166182518005,16.059478759765625,-45.56118392944336,-0.21696946024894714,-0.4600766599178314,15.38065242767334,-81.0595932006836,-72.46694946289062,1007.8244018554688,-0.4423002600669861,1.351848840713501,-0.01808742620050907,0.7111490368843079
CNRM-CM6-1-HR,-0.5611829161643982,-0.5857973098754883,0.2778055965900421,0.29805105924606323,15.257357597351074,15.059090614318848,-0.14957284927368164,-0.20704606175422668,-7.273773670196533,-0.15768420696258545,228.86077880859375,170.25738525390625,-0.6761558651924133,-0.586887776851654,0.26501354575157166,0.31112274527549744
CNRM-ESM2-1,-1.0912166833877563,-0.5704859495162964,0.1292669177055359,0.2754109501838684,30.99429702758789,7.105944633483887,-0.0324922651052475,-0.17575310170650482,10.60648250579834,-14.563764572143555,-2.959543228149414,296.8084411621094,-1.4577475786209106,-0.5520116090774536,0.08071713894605637,0.303859680891037
CMCC-CM2-SR5,-0.5903581976890564,-0.8268929719924927,-0.007952863350510597,0.3157326877117157,-15.500362396240234,25.622419357299805,-0.5124550461769104,0.0813387930393219,-14.100666046142578,6.1451616287231445,-88.29954528808594,99.82518768310547,0.09201265126466751,-0.9252592325210571,-0.0013758041895925999,0.23805339634418488
CMCC-ESM2,-0.629113495349884,-0.8374669551849365,0.13207018375396729,0.3253726065158844,-11.931058883666992,32.29065704345703,-0.4877011179924011,0.2986055910587311,-5.400722980499268,15.478647232055664,-61.52309036254883,78.01931762695312,0.1474008411169052,-1.2814407348632812,0.1847994178533554,0.21372798085212708
IPSL-CM6A-LR,-0.6568151712417603,-0.6943601965904236,0.150460347533226,0.2561998963356018,19.809467315673828,20.412633895874023,-0.3109564483165741,0.5669094324111938,-1.4779263734817505,8.900328636169434,-147.8824462890625,416.245361328125,-0.6589764952659607,-1.258114218711853,0.12287494540214539,0.018427176401019096
IPSL-CM6A-MR1,-0.4689158499240875,-0.5808969140052795,0.1613105684518814,0.33818763494491577,7.079709529876709,18.366830825805664,-0.5469214916229248,0.7271074056625366,-31.3205509185791,7.414560317993164,-117.20216369628906,460.7677307128906,-0.15436184406280518,-1.1637004613876343,-0.0910150408744812,0.3439849317073822
